localstack-main  | LocalStack supervisor: starting
localstack-main  | LocalStack supervisor: localstack process (PID 17) starting
localstack-main  | 
localstack-main  | LocalStack version: 2026.8.1
localstack-main  | LocalStack build date: 2026-09-02
localstack-main  | LocalStack build git hash: bc6e73922
localstack-main  | 
localstack-main  | 2026-09-09T07:30:45.934  INFO --- [  MainThread] l.licensing.licensingv2    : Successfully activated cached license 9d2ce785-c259-43b0-b4a0-4dc307e82450:trial from /var/lib/localstack/cache/license.json 🔑✅
localstack-main  | 2026-09-09T07:30:46.063 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_runtime_create.set_default_providers_to_pro = <function set_default_providers_to_pro at 0xffff80a27ec0>)
localstack-main  | 2026-09-09T07:30:46.063 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_runtime_create:set_default_providers_to_pro
localstack-main  | 2026-09-09T07:30:46.063 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_runtime_create.setup_otel = <function setup_otel at 0xffff80a34720>)
localstack-main  | 2026-09-09T07:30:46.063 DEBUG --- [  MainThread] plux.runtime.manager       : plugin localstack.hooks.on_runtime_create:setup_otel is disabled, reason: Load condition for plugin was false
localstack-main  | 2026-09-09T07:30:46.063 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_runtime_create.configure_licensing_for_service_plugins = <function configure_licensing_for_service_plugins at 0xffff80a27b00>)
localstack-main  | 2026-09-09T07:30:46.063 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_runtime_create:configure_licensing_for_service_plugins
localstack-main  | 2026-09-09T07:30:46.976  INFO --- [  MainThread] localstack.utils.bootstrap : Execution of "_resolve_api_provider_specs" took 912.54ms
localstack-main  | 2026-09-09T07:30:46.976 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.runtime.components.aws = <class 'localstack.pro.core.aws.components.AwsComponents'>)
localstack-main  | 2026-09-09T07:30:46.976 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.runtime.components:aws
localstack-main  | 2026-09-09T07:30:46.977 DEBUG --- [  MainThread] localstack.utils.run       : Executing command: rm -rf "/tmp/localstack"
localstack-main  | 2026-09-09T07:30:48.346 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start._disable_iam_during_startup = <function _disable_iam_during_startup at 0xffff7e8c74c0>)
localstack-main  | 2026-09-09T07:30:48.347 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:_disable_iam_during_startup
localstack-main  | 2026-09-09T07:30:48.347 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start._patch_botocore_endpoint_in_memory = <function _patch_botocore_endpoint_in_memory at 0xffff7ef43060>)
